site,year,sample_code,group,scale,diversity,ph,turb,do_mean,no,nitrogen,phosphorus,anchored_emergent,anchored_submerged_floating_leaves,free_floating,free_floating_submerged,mean_temp_12M,sd_temp_12M,deltaTemp,est_mean_temp_12M,range_temp_12M,pca1,pca2,x,y,local_x,local_y,Tmean_est_mean,TP_mean,TN_mean
MD,2016,PN_16_01,Whole-community,alpha,134,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Macroinvertebrates,alpha,11,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Zooplankton,beta,1.5591760515593251,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Zooplankton,gamma,30,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Bacteria,alpha,89,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Macroinvertebrates,gamma,55,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Zooplankton,alpha,15,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Bacteria,beta,1.8659412377083882,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Phytoplankton,alpha,18,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Phytoplankton,gamma,65,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
MD,2016,PN_16_01,Whole-community,beta,2.3542329425831614,10.8,0.006975613736425138,6.905753276311464,0.024692612590371414,0.19721016928770527,0.23901690047049992,0,0,0,0,2.43194098001681,2.118686615500895,0.7267572218120648,2.492429813042934,3.5518992640756486,1.4101648439561383,-1.0333072579489486,40.833766,-3.857007,0,0,2.435733346290305,0.11979150246449992,0.1570313492961849
